epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9077,0.91929,2.55499,1.25483,0.80147,0.77481,0.82015,0.66781,0.68654,1.39084,1.07644,0.00332532,0.00332532,0.00332532
2,140.189,0.85217,1.33361,1.15869,0.87938,0.79571,0.85342,0.66318,0.77843,1.02945,1.1367,0.00661471,0.00661471,0.00661471
3,206.331,0.90986,1.10603,1.17103,0.8382,0.83255,0.84841,0.65724,0.74387,0.92455,1.10015,0.00986009,0.00986009,0.00986009
4,272.04,0.93766,0.95864,1.18268,0.86008,0.86022,0.88225,0.69379,0.74827,0.60513,1.11821,0.009802,0.009802,0.009802
5,337.677,0.90608,0.818,1.16989,0.87105,0.84768,0.88058,0.69439,0.71792,0.58388,1.08171,0.009736,0.009736,0.009736
6,402.968,0.8789,0.7453,1.14973,0.90386,0.89645,0.90238,0.72906,0.67345,0.49084,1.05539,0.00967,0.00967,0.00967
7,468.327,0.85252,0.69207,1.13915,0.90086,0.89285,0.8999,0.72547,0.66924,0.47007,1.04323,0.009604,0.009604,0.009604
8,533.775,0.82856,0.66285,1.12778,0.91057,0.90375,0.9008,0.73237,0.65617,0.4433,1.04287,0.009538,0.009538,0.009538
9,599.455,0.82345,0.64182,1.12562,0.91805,0.90687,0.91951,0.74806,0.64935,0.40854,1.0331,0.009472,0.009472,0.009472
10,664.834,0.79574,0.61295,1.11003,0.91085,0.90104,0.90995,0.74304,0.62421,0.42075,1.00678,0.009406,0.009406,0.009406
11,730.079,0.78577,0.59836,1.1038,0.91701,0.90433,0.92045,0.76719,0.61864,0.3989,1.00498,0.00934,0.00934,0.00934
12,795.576,0.78673,0.58442,1.10612,0.90507,0.92085,0.92436,0.76101,0.61573,0.37843,1.00397,0.009274,0.009274,0.009274
13,861.537,0.77559,0.57574,1.10154,0.90831,0.92605,0.91966,0.75832,0.60289,0.36878,1.00343,0.009208,0.009208,0.009208
14,927.285,0.7665,0.56687,1.09677,0.91386,0.91541,0.92185,0.76462,0.60944,0.38362,0.99712,0.009142,0.009142,0.009142
15,993.381,0.76198,0.57016,1.09611,0.91847,0.91325,0.91805,0.76386,0.59512,0.3647,0.99728,0.009076,0.009076,0.009076
16,1058.82,0.7454,0.53846,1.08243,0.91626,0.92071,0.9212,0.77319,0.58258,0.35556,0.97847,0.00901,0.00901,0.00901
17,1124.4,0.74279,0.53354,1.07895,0.93189,0.91991,0.93245,0.77409,0.57576,0.33424,0.98801,0.008944,0.008944,0.008944
18,1189.77,0.73667,0.52479,1.07924,0.92769,0.93069,0.93112,0.77651,0.56407,0.3495,0.97258,0.008878,0.008878,0.008878
19,1255.03,0.73273,0.52373,1.07968,0.93634,0.92712,0.92471,0.77901,0.56904,0.33034,0.97841,0.008812,0.008812,0.008812
