epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0869,0.88544,2.2221,1.20593,0.91239,0.709,0.76333,0.61972,0.71152,0.9677,1.05216,0.000368846,0.000368846,0.000368846
2,84.9112,0.83269,1.16446,1.13038,0.80404,0.79382,0.85773,0.71553,0.69583,0.71861,1.03771,0.000734301,0.000734301,0.000734301
3,125.483,0.83264,0.91971,1.1242,0.75874,0.76059,0.8268,0.68253,0.72957,0.74799,1.08912,0.00109487,0.00109487,0.00109487
4,164.76,0.82838,0.78829,1.12664,0.91417,0.88126,0.93438,0.78063,0.6808,0.52722,1.02675,0.001089,0.001089,0.001089
5,204.898,0.7964,0.69061,1.10234,0.88642,0.9126,0.94904,0.80469,0.63606,0.48228,1.00644,0.00108167,0.00108167,0.00108167
6,244.817,0.77646,0.63311,1.09751,0.88229,0.89611,0.93995,0.7835,0.65044,0.46893,1.00989,0.00107434,0.00107434,0.00107434
7,284.485,0.75401,0.59598,1.07366,0.94233,0.94107,0.97651,0.83147,0.64826,0.42896,1.01543,0.001067,0.001067,0.001067
8,325.875,0.74975,0.57462,1.07806,0.95029,0.93471,0.97297,0.83739,0.59974,0.37442,0.98787,0.00105967,0.00105967,0.00105967
9,365.75,0.72968,0.53588,1.0684,0.98073,0.93041,0.97523,0.84787,0.61876,0.37832,0.98997,0.00105234,0.00105234,0.00105234
10,405.712,0.71607,0.53531,1.05835,0.95513,0.9259,0.98145,0.85545,0.59223,0.35831,0.978,0.00104501,0.00104501,0.00104501
11,445.127,0.70876,0.5278,1.05884,0.95296,0.92789,0.97704,0.85119,0.58054,0.35938,0.97129,0.00103767,0.00103767,0.00103767
12,484.834,0.70266,0.50772,1.05586,0.96023,0.92361,0.97827,0.85869,0.57577,0.34205,0.9684,0.00103034,0.00103034,0.00103034
13,524.333,0.69619,0.49409,1.0475,0.96994,0.95269,0.97658,0.85447,0.58622,0.34604,0.96026,0.00102301,0.00102301,0.00102301
14,564.536,0.68574,0.48388,1.03918,0.97359,0.95137,0.98354,0.87556,0.56586,0.33393,0.95308,0.00101568,0.00101568,0.00101568
15,604.605,0.68541,0.47744,1.04212,0.97156,0.94723,0.98419,0.86624,0.56957,0.33723,0.95768,0.00100834,0.00100834,0.00100834
16,644.057,0.68002,0.47254,1.03943,0.96218,0.96834,0.98544,0.85278,0.56646,0.32539,0.95023,0.00100101,0.00100101,0.00100101
17,684.472,0.67447,0.4661,1.0363,0.94313,0.95045,0.98079,0.86704,0.55739,0.32408,0.95147,0.000993678,0.000993678,0.000993678
18,724.46,0.67218,0.46039,1.03928,0.97001,0.95119,0.98605,0.87525,0.55158,0.30323,0.95034,0.000986346,0.000986346,0.000986346
19,764.383,0.66475,0.43993,1.03405,0.9869,0.96393,0.98407,0.87365,0.5331,0.30195,0.94102,0.000979013,0.000979013,0.000979013
20,804.284,0.65325,0.44029,1.0262,0.96871,0.9597,0.98645,0.88495,0.54623,0.31144,0.94599,0.000971681,0.000971681,0.000971681
21,843.973,0.65564,0.4392,1.02971,0.97309,0.95684,0.98267,0.87425,0.55153,0.31774,0.95296,0.000964348,0.000964348,0.000964348
22,883.621,0.65586,0.42759,1.0262,0.97297,0.95747,0.98186,0.87654,0.52696,0.28816,0.93757,0.000957015,0.000957015,0.000957015
23,923.499,0.63863,0.42077,1.01965,0.96666,0.95015,0.98127,0.87975,0.53293,0.30074,0.93936,0.000949683,0.000949683,0.000949683
24,963.471,0.64577,0.41294,1.02552,0.97418,0.95304,0.98228,0.88167,0.52976,0.29152,0.93896,0.00094235,0.00094235,0.00094235
25,1003.16,0.6399,0.41303,1.02238,0.96634,0.9664,0.98806,0.88674,0.53486,0.29929,0.94229,0.000935018,0.000935018,0.000935018
26,1043.65,0.64155,0.41396,1.02146,0.95799,0.971,0.98429,0.8837,0.52955,0.29672,0.93993,0.000927685,0.000927685,0.000927685
27,1084,0.63708,0.4102,1.01144,0.97991,0.96893,0.985,0.89044,0.51968,0.29199,0.92838,0.000920352,0.000920352,0.000920352
28,1123.21,0.63586,0.41125,1.01884,0.9729,0.96927,0.98743,0.8869,0.52922,0.28494,0.93174,0.00091302,0.00091302,0.00091302
29,1163.52,0.62109,0.39352,1.00812,0.98507,0.95314,0.98478,0.89405,0.52638,0.28347,0.929,0.000905687,0.000905687,0.000905687
30,1203.85,0.62687,0.40254,1.01497,0.98298,0.96911,0.98634,0.88508,0.52633,0.27499,0.937,0.000898355,0.000898355,0.000898355
31,1243.14,0.61166,0.392,1.00251,0.97205,0.96034,0.98689,0.89386,0.52049,0.28423,0.92835,0.000891022,0.000891022,0.000891022
32,1283.38,0.62202,0.38953,1.01322,0.98554,0.96542,0.98725,0.88935,0.51071,0.26736,0.92252,0.000883689,0.000883689,0.000883689
33,1323.64,0.62174,0.39739,1.01418,0.95783,0.9644,0.98432,0.89009,0.51927,0.28416,0.92712,0.000876357,0.000876357,0.000876357
34,1362.95,0.61676,0.3859,1.00871,0.97721,0.97818,0.98921,0.89708,0.5122,0.27044,0.92348,0.000869024,0.000869024,0.000869024
35,1403.21,0.61908,0.38936,1.01148,0.98804,0.96881,0.98583,0.89669,0.50993,0.26953,0.92412,0.000861692,0.000861692,0.000861692
36,1443.26,0.60936,0.38548,1.003,0.97944,0.97589,0.98834,0.88697,0.53217,0.2734,0.93789,0.000854359,0.000854359,0.000854359
37,1482.81,0.60229,0.37561,1.00205,0.97893,0.97333,0.98725,0.89824,0.49905,0.2611,0.92189,0.000847026,0.000847026,0.000847026
38,1522.94,0.60494,0.37445,1.00592,0.95808,0.97151,0.98802,0.89297,0.5147,0.27117,0.92978,0.000839694,0.000839694,0.000839694
39,1563.13,0.60764,0.37909,1.00781,0.97005,0.96862,0.98599,0.8935,0.50825,0.26468,0.92811,0.000832361,0.000832361,0.000832361
40,1602.63,0.59868,0.37194,1.00169,0.98443,0.96267,0.98799,0.89485,0.50784,0.26434,0.92308,0.000825029,0.000825029,0.000825029
