                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8745,                  2.771,                   1.22,                0.65004,                0.76084,                0.77528,                 0.6369,                0.63708,                 1.1619,                  1.034,              0.0033215,              0.0033215,              0.0033215
                      2,                0.80235,                 1.4112,                 1.1187,                0.82921,                0.78805,                0.86629,                0.71677,                0.66814,                 1.0554,                 1.0392,              0.0066109,              0.0066109,              0.0066109
                      3,                0.84912,                 1.2054,                 1.1307,                0.90665,                0.89541,                0.94308,                0.76749,                0.71781,                0.70162,                 1.0672,              0.0098563,              0.0098563,              0.0098563
                      4,                0.89091,                 1.0387,                 1.1465,                0.92159,                0.87066,                0.93795,                0.75307,                0.76947,                 0.7264,                 1.1032,               0.009802,               0.009802,               0.009802
                      5,                0.85088,                 0.8483,                 1.1253,                0.90242,                0.87531,                0.94559,                0.77706,                0.67456,                0.62999,                  1.047,               0.009736,               0.009736,               0.009736
                      6,                0.83493,                0.76203,                 1.1173,                0.93865,                0.93957,                0.97803,                0.81934,                0.65897,                0.45023,                 1.0289,                0.00967,                0.00967,                0.00967
                      7,                0.80473,                0.70532,                  1.102,                0.94938,                0.94664,                0.97616,                 0.8179,                0.64387,                0.45541,                 1.0164,               0.009604,               0.009604,               0.009604
                      8,                0.78844,                0.64764,                 1.0863,                0.93798,                0.93872,                0.97597,                0.82552,                0.62533,                0.41266,                 1.0026,               0.009538,               0.009538,               0.009538
                      9,                0.78651,                0.63816,                  1.087,                 0.9615,                0.94231,                0.98466,                0.83661,                0.61271,                 0.3855,                0.99814,               0.009472,               0.009472,               0.009472
                     10,                0.76662,                0.60652,                 1.0807,                0.95963,                0.94576,                0.98461,                0.84323,                0.59375,                0.35898,                  0.984,               0.009406,               0.009406,               0.009406
                     11,                0.75764,                0.58532,                 1.0702,                0.97583,                0.95683,                0.98923,                0.86192,                0.57491,                0.33918,                 0.9724,                0.00934,                0.00934,                0.00934
                     12,                0.74042,                0.56516,                 1.0662,                0.96395,                0.96121,                0.98638,                0.85003,                0.58089,                0.33764,                0.97391,               0.009274,               0.009274,               0.009274
                     13,                 0.7319,                0.55014,                 1.0551,                0.96658,                0.94906,                0.98701,                0.85888,                0.58078,                0.34579,                0.97707,               0.009208,               0.009208,               0.009208
                     14,                 0.7311,                0.53836,                 1.0564,                0.96743,                0.96175,                0.98815,                0.86328,                0.57992,                0.32258,                0.96335,               0.009142,               0.009142,               0.009142
                     15,                0.71838,                0.52182,                 1.0512,                0.97967,                0.97588,                0.99041,                0.86781,                0.56838,                  0.308,                 0.9668,               0.009076,               0.009076,               0.009076
                     16,                0.70611,                0.50974,                 1.0462,                0.97206,                0.97203,                 0.9881,                0.86497,                0.56025,                0.31987,                0.96201,                0.00901,                0.00901,                0.00901
                     17,                0.69644,                0.50693,                 1.0397,                0.96484,                0.96483,                0.98424,                0.86156,                0.55662,                0.32277,                0.95829,               0.008944,               0.008944,               0.008944
                     18,                0.70972,                0.50976,                 1.0496,                0.98514,                0.97074,                0.99029,                0.87907,                0.53749,                0.30674,                0.94612,               0.008878,               0.008878,               0.008878
                     19,                0.69693,                0.50215,                 1.0425,                0.97051,                0.96464,                0.98678,                0.85512,                0.59227,                0.32112,                0.97234,               0.008812,               0.008812,               0.008812
                     20,                0.68522,                0.48458,                  1.037,                0.98299,                0.97457,                0.99106,                0.86754,                0.55776,                0.31438,                0.95256,               0.008746,               0.008746,               0.008746
                     21,                0.68996,                0.49136,                 1.0402,                0.97191,                0.96088,                 0.9866,                0.87802,                0.53939,                0.30937,                0.94362,                0.00868,                0.00868,                0.00868
                     22,                0.68462,                0.46861,                 1.0286,                0.97555,                0.97669,                   0.99,                0.87712,                0.53582,                0.28733,                0.94207,               0.008614,               0.008614,               0.008614
                     23,                0.67179,                0.46625,                 1.0283,                0.97199,                 0.9776,                0.98739,                0.88117,                 0.5297,                0.28549,                0.94334,               0.008548,               0.008548,               0.008548
                     24,                0.67222,                 0.4593,                  1.026,                0.97054,                0.96152,                0.98777,                0.87119,                0.54316,                0.29956,                0.94736,               0.008482,               0.008482,               0.008482
                     25,                0.67184,                0.46444,                 1.0272,                0.99097,                0.96866,                0.99141,                0.87382,                0.54994,                0.28806,                0.95117,               0.008416,               0.008416,               0.008416
                     26,                0.66725,                0.45992,                 1.0275,                0.97398,                0.97532,                0.99054,                0.87281,                0.53588,                0.27847,                0.94461,                0.00835,                0.00835,                0.00835
                     27,                0.66411,                0.44879,                  1.024,                0.98199,                0.97452,                0.99171,                0.87861,                0.53549,                0.28994,                0.94235,               0.008284,               0.008284,               0.008284
                     28,                0.65857,                0.44177,                 1.0232,                0.98153,                0.98309,                0.99291,                0.88644,                0.51984,                0.26749,                0.93295,               0.008218,               0.008218,               0.008218
                     29,                0.65805,                0.43964,                 1.0211,                0.98632,                0.97565,                0.99263,                0.88206,                0.52363,                0.27222,                0.94226,               0.008152,               0.008152,               0.008152
                     30,                0.64863,                0.43963,                 1.0148,                0.98139,                0.97022,                0.99157,                 0.8826,                0.52492,                0.27512,                0.93861,               0.008086,               0.008086,               0.008086
                     31,                0.65608,                0.43922,                 1.0256,                0.98126,                0.97227,                0.99171,                0.89245,                0.50804,                0.25885,                0.92518,                0.00802,                0.00802,                0.00802
                     32,                0.65617,                0.43267,                 1.0178,                0.98328,                 0.9796,                0.99235,                0.88925,                0.51257,                0.26347,                0.93125,               0.007954,               0.007954,               0.007954
                     33,                0.64098,                0.42596,                 1.0155,                0.98162,                0.96385,                0.98857,                0.88004,                0.52528,                0.27416,                0.92986,               0.007888,               0.007888,               0.007888
                     34,                0.63668,                0.42401,                 1.0109,                0.99151,                0.98159,                0.99255,                0.89286,                0.51101,                0.24702,                0.92749,               0.007822,               0.007822,               0.007822
                     35,                0.63231,                0.41491,                  1.008,                0.97748,                0.98097,                0.98729,                0.88135,                0.52849,                0.25932,                0.93698,               0.007756,               0.007756,               0.007756
                     36,                0.64193,                0.43314,                 1.0166,                0.97966,                   0.98,                0.99103,                0.88678,                0.50711,                0.25628,                0.92649,                0.00769,                0.00769,                0.00769
                     37,                 0.6366,                0.42078,                 1.0162,                0.98473,                0.98213,                 0.9908,                0.88774,                0.51359,                0.25373,                0.93547,               0.007624,               0.007624,               0.007624
                     38,                  0.628,                0.41469,                 1.0081,                0.97645,                0.98225,                0.99197,                0.89038,                 0.5107,                0.25259,                0.93125,               0.007558,               0.007558,               0.007558
                     39,                0.63349,                0.41447,                 1.0104,                0.98799,                0.97903,                0.99241,                 0.8852,                0.51474,                0.26052,                0.93018,               0.007492,               0.007492,               0.007492
                     40,                0.62748,                0.40667,                 1.0095,                0.98343,                0.98042,                0.99306,                0.89359,                  0.503,                 0.2468,                 0.9188,               0.007426,               0.007426,               0.007426
                     41,                0.62637,                0.39907,                 1.0077,                0.97915,                0.98324,                0.99005,                0.89266,                0.50953,                0.25057,                0.92305,                0.00736,                0.00736,                0.00736
                     42,                0.61943,                0.39853,                 1.0033,                0.97536,                0.98713,                0.99142,                0.88887,                0.51307,                0.25248,                0.92803,               0.007294,               0.007294,               0.007294
                     43,                0.62641,                0.41589,                 1.0102,                0.98898,                0.98289,                0.99373,                0.90018,                0.48821,                 0.2428,                0.91559,               0.007228,               0.007228,               0.007228
                     44,                0.61519,                0.40419,                  1.002,                0.98139,                0.97877,                 0.9911,                0.89395,                0.50722,                0.25085,                0.92383,               0.007162,               0.007162,               0.007162
                     45,                 0.6109,                0.39678,                0.99759,                0.98032,                0.98303,                0.99178,                0.89636,                0.49693,                0.24451,                0.91915,               0.007096,               0.007096,               0.007096
                     46,                0.61572,                0.39764,                  1.006,                0.98973,                0.96826,                0.99233,                 0.8976,                0.49195,                0.24517,                0.91845,                0.00703,                0.00703,                0.00703
