epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9724,0.83337,1.61135,1.22069,0.94075,0.8916,0.95722,0.82579,0.58821,0.45738,0.9985,0.00332151,0.00332151,0.00332151
2,114.487,0.73356,0.6806,1.10166,0.93144,0.83533,0.93437,0.79181,0.61466,0.57705,1.01882,0.00661092,0.00661092,0.00661092
3,169.465,0.81089,0.7275,1.13854,0.93308,0.87158,0.92675,0.75204,0.703,0.64041,1.09608,0.00985634,0.00985634,0.00985634
4,223.937,0.86031,0.75596,1.16663,0.90586,0.8321,0.90484,0.72623,0.78412,0.6382,1.14785,0.009802,0.009802,0.009802
5,278.732,0.85328,0.70381,1.15965,0.96353,0.92482,0.98274,0.82135,0.66312,0.44406,1.04018,0.009736,0.009736,0.009736
6,333.49,0.8138,0.65665,1.13144,0.94252,0.93482,0.97692,0.82055,0.65991,0.43116,1.03594,0.00967,0.00967,0.00967
7,388.212,0.80314,0.63215,1.12755,0.92198,0.95058,0.96955,0.83044,0.60658,0.4175,1.00464,0.009604,0.009604,0.009604
8,443.105,0.78599,0.60667,1.11125,0.97507,0.94696,0.98362,0.84702,0.6043,0.37712,1.00156,0.009538,0.009538,0.009538
9,497.647,0.76126,0.58963,1.10101,0.95018,0.9591,0.9862,0.85119,0.5941,0.36475,0.99352,0.009472,0.009472,0.009472
10,552.371,0.75491,0.56262,1.09153,0.95332,0.9711,0.98591,0.84795,0.58909,0.35036,0.98909,0.009406,0.009406,0.009406
11,606.956,0.7392,0.55174,1.08235,0.97255,0.96542,0.98652,0.85934,0.58038,0.34344,0.98436,0.00934,0.00934,0.00934
12,661.413,0.72539,0.5331,1.08131,0.96022,0.9642,0.98762,0.86267,0.56149,0.33495,0.97087,0.009274,0.009274,0.009274
13,715.995,0.71697,0.55504,1.06801,0.9682,0.96067,0.98114,0.85516,0.57792,0.34161,0.97992,0.009208,0.009208,0.009208
14,770.746,0.71549,0.50807,1.06838,0.96949,0.97548,0.99112,0.86783,0.5699,0.31999,0.97258,0.009142,0.009142,0.009142
15,825.836,0.70217,0.49366,1.0588,0.97264,0.95913,0.99044,0.86965,0.55562,0.32721,0.9608,0.009076,0.009076,0.009076
16,880.781,0.69715,0.48427,1.06058,0.97803,0.9731,0.99165,0.87032,0.55798,0.3012,0.96245,0.00901,0.00901,0.00901
17,935.678,0.69539,0.49746,1.0534,0.96969,0.97999,0.9907,0.877,0.53924,0.29371,0.94363,0.008944,0.008944,0.008944
18,990.481,0.69193,0.4819,1.05832,0.96813,0.97907,0.98956,0.87702,0.53407,0.2913,0.94845,0.008878,0.008878,0.008878
19,1044.96,0.67704,0.46324,1.03932,0.98256,0.97116,0.9919,0.87981,0.54648,0.29515,0.95288,0.008812,0.008812,0.008812
20,1099.99,0.67751,0.45806,1.04236,0.97489,0.97927,0.99125,0.88209,0.5217,0.28191,0.94227,0.008746,0.008746,0.008746
21,1154.81,0.6707,0.45712,1.0389,0.97569,0.98487,0.99261,0.88413,0.53089,0.27997,0.94828,0.00868,0.00868,0.00868
22,1209.27,0.67206,0.46015,1.04134,0.9825,0.97904,0.99061,0.88353,0.5239,0.27683,0.94181,0.008614,0.008614,0.008614
23,1263.7,0.66244,0.45158,1.03329,0.98666,0.97101,0.99132,0.88818,0.51584,0.27552,0.93607,0.008548,0.008548,0.008548
24,1318.27,0.65724,0.43846,1.02953,0.98049,0.97683,0.98899,0.8783,0.51927,0.27229,0.93635,0.008482,0.008482,0.008482
25,1372.59,0.65149,0.43429,1.02574,0.98042,0.97185,0.99019,0.88694,0.50645,0.26676,0.93119,0.008416,0.008416,0.008416
26,1427.08,0.64896,0.42659,1.02405,0.98322,0.98017,0.99319,0.8861,0.5339,0.27341,0.94837,0.00835,0.00835,0.00835
27,1481.39,0.64815,0.42746,1.0281,0.98897,0.98412,0.99367,0.89728,0.50429,0.25253,0.92938,0.008284,0.008284,0.008284
28,1536.06,0.63579,0.4127,1.01898,0.99137,0.98213,0.99325,0.89317,0.50846,0.25748,0.9293,0.008218,0.008218,0.008218
29,1590.29,0.64186,0.42494,1.02613,0.97259,0.98974,0.99287,0.89161,0.50964,0.25295,0.93263,0.008152,0.008152,0.008152
30,1644.45,0.63375,0.41494,1.02095,0.97758,0.98052,0.99159,0.8925,0.50493,0.25799,0.93085,0.008086,0.008086,0.008086
31,1698.49,0.63411,0.40945,1.02062,0.98186,0.9767,0.99285,0.89727,0.50641,0.26323,0.92967,0.00802,0.00802,0.00802
32,1752.5,0.62052,0.41556,1.0137,0.99201,0.97061,0.99256,0.89803,0.49381,0.25292,0.92443,0.007954,0.007954,0.007954
33,1806.91,0.62403,0.39992,1.01714,0.98652,0.97798,0.99212,0.89117,0.50473,0.25648,0.92799,0.007888,0.007888,0.007888
34,1860.61,0.62582,0.41047,1.01784,0.99414,0.97953,0.99336,0.90122,0.48956,0.24416,0.92183,0.007822,0.007822,0.007822
35,1915.2,0.61651,0.39453,1.01227,0.98967,0.98665,0.99266,0.89859,0.49004,0.24493,0.9222,0.007756,0.007756,0.007756
36,1969.37,0.61472,0.39244,1.01268,0.98445,0.98992,0.99328,0.90219,0.49159,0.23617,0.91994,0.00769,0.00769,0.00769
37,2024.01,0.61159,0.38981,1.00432,0.98574,0.98916,0.99166,0.89812,0.49558,0.24779,0.92032,0.007624,0.007624,0.007624
38,2078.18,0.60582,0.38892,1.00732,0.98568,0.98741,0.99362,0.89844,0.49382,0.24462,0.92378,0.007558,0.007558,0.007558
39,2132.35,0.60519,0.38515,1.00615,0.9841,0.98699,0.99345,0.90074,0.47954,0.23948,0.91835,0.007492,0.007492,0.007492
40,2186.35,0.60549,0.38553,1.00874,0.98554,0.98811,0.99375,0.90074,0.48002,0.23808,0.91573,0.007426,0.007426,0.007426
41,2240.48,0.60431,0.38144,1.01003,0.9763,0.98839,0.99285,0.89921,0.48038,0.2347,0.91569,0.00736,0.00736,0.00736
42,2294.51,0.60621,0.38242,1.00401,0.98581,0.98164,0.99385,0.90103,0.49268,0.23719,0.91947,0.007294,0.007294,0.007294
43,2348.6,0.59862,0.3789,0.9991,0.99393,0.97732,0.99359,0.90228,0.48565,0.23646,0.90877,0.007228,0.007228,0.007228
44,2402.7,0.5934,0.36954,1.00169,0.98859,0.97676,0.99198,0.90166,0.48265,0.23822,0.91741,0.007162,0.007162,0.007162
45,2456.56,0.58911,0.36856,0.99303,0.98767,0.97967,0.99195,0.89865,0.49018,0.23585,0.91771,0.007096,0.007096,0.007096
46,2510.77,0.59123,0.37053,0.99322,0.98475,0.97869,0.99203,0.8987,0.48429,0.24215,0.91844,0.00703,0.00703,0.00703
47,2564.99,0.59196,0.36857,0.99343,0.98573,0.98472,0.99296,0.90428,0.4789,0.23403,0.90978,0.006964,0.006964,0.006964
48,2619.32,0.59021,0.36609,0.99523,0.99114,0.98449,0.99363,0.9024,0.48467,0.23117,0.91384,0.006898,0.006898,0.006898
49,2673.56,0.5817,0.35264,0.99072,0.98081,0.98999,0.99157,0.89989,0.48547,0.23078,0.91787,0.006832,0.006832,0.006832
50,2727.63,0.58563,0.36589,0.99552,0.98924,0.98045,0.99179,0.89963,0.48512,0.22874,0.91336,0.006766,0.006766,0.006766
51,2781.86,0.57773,0.35502,0.98833,0.9887,0.9855,0.99283,0.90151,0.48484,0.22874,0.91159,0.0067,0.0067,0.0067
52,2836.22,0.57403,0.35647,0.99373,0.99261,0.98625,0.99281,0.89415,0.47936,0.22817,0.91393,0.006634,0.006634,0.006634
53,2890.47,0.574,0.35262,0.99029,0.99132,0.98349,0.99322,0.90305,0.4845,0.23098,0.91798,0.006568,0.006568,0.006568
54,2944.52,0.57718,0.35007,0.98814,0.98888,0.98748,0.99344,0.90465,0.48036,0.22607,0.91341,0.006502,0.006502,0.006502
55,2998.91,0.57618,0.35883,0.99054,0.98798,0.98153,0.99182,0.9034,0.48038,0.22717,0.91078,0.006436,0.006436,0.006436
56,3053.2,0.5789,0.35371,0.99403,0.99279,0.98242,0.99271,0.90818,0.47422,0.2347,0.90793,0.00637,0.00637,0.00637
57,3107.72,0.56406,0.34588,0.98619,0.98744,0.98672,0.99293,0.90365,0.476,0.22656,0.911,0.006304,0.006304,0.006304
58,3161.82,0.55984,0.3441,0.97965,0.98291,0.99057,0.99315,0.90722,0.4723,0.22229,0.91244,0.006238,0.006238,0.006238
59,3215.95,0.56705,0.3414,0.98541,0.9919,0.99151,0.99352,0.9067,0.47696,0.2213,0.91418,0.006172,0.006172,0.006172
60,3270.16,0.56027,0.34363,0.98202,0.98989,0.97667,0.99257,0.90421,0.47886,0.22815,0.91004,0.006106,0.006106,0.006106
61,3324.39,0.55986,0.33851,0.97516,0.98917,0.98143,0.99397,0.9096,0.47186,0.22069,0.90566,0.00604,0.00604,0.00604
62,3378.76,0.54966,0.33813,0.98013,0.98432,0.98814,0.99356,0.90832,0.46362,0.21572,0.90299,0.005974,0.005974,0.005974
63,3432.85,0.55572,0.33486,0.98067,0.99082,0.98146,0.99341,0.90736,0.47077,0.21661,0.90641,0.005908,0.005908,0.005908
64,3486.83,0.55675,0.33712,0.98018,0.99044,0.98438,0.99387,0.90755,0.47546,0.219,0.90954,0.005842,0.005842,0.005842
65,3540.77,0.55103,0.34109,0.97896,0.98378,0.98573,0.99218,0.90606,0.47036,0.22127,0.90585,0.005776,0.005776,0.005776
66,3594.9,0.5464,0.33331,0.97483,0.98597,0.98211,0.99278,0.9073,0.46676,0.22138,0.91009,0.00571,0.00571,0.00571
67,3649.17,0.54283,0.32616,0.97222,0.99128,0.98243,0.99218,0.90358,0.47559,0.22325,0.9126,0.005644,0.005644,0.005644
